Name,Note,Created At,Updated At,Cancelled At,Cancel: Reason,Currency,Weight Total,Price: Total Line Items,Price: Subtotal,Price: Total,Payment: Status,Customer: Email,Customer: Phone,Customer: First Name,Customer: Last Name,Billing: First Name,Billing: Last Name,Billing: Company,Billing: Phone,Billing: Address 1,Billing: Address 2,Billing: Zip,Billing: City,Billing: Province Code,Billing: Country Code,Shipping: First Name,Shipping: Last Name,Shipping: Company,Shipping: Phone,Shipping: Address 1,Shipping: Address 2,Shipping: Zip,Shipping: City,Shipping: Province Code,Shipping: Country Code,Top Row,Line: Type,Line: ID,Invoice: ID,Shipment: ID,Credit Memo: ID,Line: Title,Line: Name,Line: Quantity,Line: Price,Line: Discount,Line: Total,Line: Variant SKU,Line: Variant Weight,Transaction: Gateway,Shipment: Title,Shipment: Carrier Code,Shipment: Tracking Number,Credit Memo: Quantity Refunded,Credit Memo: Shipping amount,Credit Memo: Adjustment amount
ABC123XYZ,Access to digital files permitted and order email sent [SendOwl],2021-02-02T06:44:22-05:00,2021-02-02T06:45:11-05:00,,,USD,2000,777777.77,61.99,74.5,paid,customer1@gmail.com,888-888-8888,John,Smith,John,Smith,,888-888-8888,111 Testing Address,,11111,Testing City,,USA,John,Smith,,1111111111,111 Testing Address,,11111,Testing City,,USA,TRUE,Line Item,1,1,1,,,Test Name 1,1,10,,10,sku1,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Line Item,2,1,1,,,Test Name 2,1,10,,10,sku2,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Line Item,3,1,1,,,Test Name 3,1,10,,10,sku3,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Line Item,4,1,1,,,Test Name 4,1,10,,10,sku4,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Line Item,5,1,1,,,Test Name 5,1,10,,10,sku5,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Line Item,6,2,1,,,Test Name 6,1,10,,10,sku6,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Line Item,7,2,1,,,Test Name 7,1,10,,10,sku7,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Line Item,8,2,1,,,Test Name 8,1,10,,10,sku8,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Line Item,9,2,1,,,Test Name 9,1,10,,10,sku9,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Line Item,10,2,1,,,Test Name 10,1,10,,10,sku10,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Line Item,11,3,1,,,Test Name 11,1,10,,10,sku11,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Line Item,12,3,2,,,Test Name 12,1,10,,10,sku12,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Line Item,13,3,2,,,Test Name 13,1,10,,10,sku13,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Line Item,14,3,2,,,Test Name 14,1,10,,10,sku14,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Line Item,15,3,2,1,,Test Name 15,1,10,,10,sku15,1,,,,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Line Item,16,4,2,,,Test Name 16,1,10,,10,sku16,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Line Item,17,4,2,,,Test Name 17,1,10,,10,sku17,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Line Item,18,4,2,,,Test Name 18,1,10,,10,sku18,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Line Item,19,4,2,,,Test Name 19,1,10,,10,sku19,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Line Item,20,5,2,,,Test Name 20,1,10,,10,sku20,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Credit Memo,21,,,1,,,,,,,,,,,,,,,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shipment,22,,1,,,,,,,,,,,Test1,UPS,XYZ123471ABC,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shipment,23,,1,,,,,,,,,,,Test2,FEDEX,WALLAWALLA,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shipment,24,,2,,,,,,,,,,,Test3,UPS,TEST TRACK NUMBER,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Discount,25,,,,Testing discount title,Testing discount name,,,-1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transaction,26,,,,,,,,,,,,stripe,,,,,,
